Restaurant Name,Description,Tags,Website,Rating,Review Count,Full Address,Coordinates,Phone
Oscar's Restaurant,Pizzeria's loaded pies might be topped with cheesesteak meat or chicken Alfredo in a simple space.,"Italian restaurant, Takeout Restaurant, Pizza delivery, Pizza restaurant, Pizza Takeout",https://www.orderoscars.com/,3.7,340,"1840 Cumberland Ave, Knoxville, TN 37916",35.9550206 -83.935514,+1 865-524-3663
Sullivan's Fine Food,Neighborhood standby with a cozy bar & a patio offering traditional American & Southern cuisine.,Southern restaurant (US),https://www.sullivansfinefood.com/,4.5,489,"7545 S Northshore Dr, Knoxville, TN 37919",35.9048055 -84.01961519999999,+1 865-694-9696
O'Charley's Restaurant & Bar,"Relaxed chain restaurant cooking American comfort staples, with take-out options & a full bar.","American restaurant, Bar & grill",https://www.ocharleys.com/,4.3,1292,"11036 Parkside Dr, Knoxville, TN 37934",35.902096 -84.150263,+1 865-675-4244
Applebee's Grill + Bar,Full-service chain bar & grill providing hearty American eats in an informal setting.,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",https://restaurants.applebees.com/en-us/tn/knoxville/261-north-peters-road-85051?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=85051&utm_content=website,4.0,1907,"261 N Peters Rd, Knoxville, TN 37923",35.9152092 -84.0877983,+1 865-531-5819
A Dopo Sourdough Pizza,Varied wood-fired sourdough pizzas with beer & wine on tap in a family-friendly space.,"Pizza restaurant, Italian restaurant",https://www.adopopizza.com/,4.7,911,"516 Williams St, Knoxville, TN 37917",35.972263999999996 -83.92199699999999,+1 865-321-1297
Nick & J's Cafe,"Modest joint with counter seats offering breakfast fare, sandwiches & burgers piled with toppings.","Restaurant, Breakfast restaurant, Diner, Cafe",https://www.nickandjscafe.com/,4.8,1577,"1526 Lovell Rd, Knoxville, TN 37932",35.935438399999995 -84.1437191,+1 865-766-5453
Cracker Barrel Old Country Store,"Homey chain restaurant serving American comfort food, with an on-site general store.","American restaurant, Breakfast restaurant, Family restaurant, Gift shop, Takeout Restaurant, Restaurant, Southern restaurant (US)",https://www.crackerbarrel.com/Locations/States/tn/knoxville/16/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl,4.2,3304,"9214 Park West Blvd, Knoxville, TN 37923",35.9185231 -84.0927506,+1 865-690-6060
O'Charley's Restaurant & Bar,"Relaxed chain restaurant cooking American comfort staples, with take-out options & a full bar.","American restaurant, Bar & grill",https://www.ocharleys.com/,4.1,1479,"8077 Kingston Pike, Knoxville, TN 37919",35.924956 -84.05051999999999,+1 865-691-5885
Bravo! Italian Kitchen,"Upscale-casual Italian chain serving pasta, grilled dishes, pizza & cocktails amid Roman-ruin decor.",Italian restaurant,https://www.bravoitalian.com/?y_source=1_MTU5OTgwMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.3,1316,"106 Major Reynolds Pl, Knoxville, TN 37919",35.9324335 -84.00865329999999,+1 865-584-5510
Culver's,Fast-food chain specializing in frozen custard & signature burgers made with Midwest beef & dairy.,"American restaurant, Dessert restaurant, Fast food restaurant, Hamburger restaurant, Ice cream shop, Restaurant, Sandwich shop",https://www.culvers.com/restaurants/knoxville-tn-kingston-pike?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,4.5,3603,"9113 Kingston Pike, Knoxville, TN 37923",35.912552999999996 -84.0850512,+1 865-357-1780
Calhoun's,"Chain serving Tennessee BBQ, fresh-ground burgers & sandwiches, plus homestyle sides & craft beers.","Barbecue restaurant, Banquet hall, Restaurant",https://calhouns.com/menus-and-locations/bearden-hill/,4.3,1378,"6515 Kingston Pike, Knoxville, TN 37919",35.9324187 -84.0119418,+1 865-673-3377
Chili's Grill & Bar,Family-friendly chain serving classic Tex-Mex & American fare in a Southwestern-style setting.,"Tex-Mex restaurant, American restaurant, Bar, Bar & grill, Family restaurant, Hamburger restaurant, Mexican restaurant, Restaurant",https://www.chilis.com/locations/us/tennessee/farragut/turkey-creek?utm_source=google&utm_medium=local&utm_campaign=Chilis,4.2,1005,"11454 Parkside Dr, Farragut, TN 37934",35.898472999999996 -84.16551799999999,+1 865-671-9536
Mexico Lindo,,"Restaurant, Mexican restaurant",https://bit.ly/mexicolindomenu,4.5,358,"462 N Cedar Bluff Rd, Knoxville, TN 37923",35.9252082 -84.0933755,+1 865-692-9515
Sweet P's Barbecue and Downtown Dive,Bi-level hub for slow-smoked meats & Southern comfort sides in a rustic space with exposed beams.,"Barbecue restaurant, Caterer, Restaurant, Soul food restaurant",https://www.sweetpbbq.com/downtown-dive/,4.5,2179,"410 W Jackson Ave, Knoxville, TN 37902",35.967948199999995 -83.92174159999999,+1 865-281-1738
Cazzy's Corner Grill,"Informal hangout offering traditional & creative American dishes, sports on TV & a patio.","New American restaurant, American restaurant, Bar & grill",https://www.cazzys.com/,4.6,719,"2099 Thunderhead Rd, Knoxville, TN 37922",35.8570089 -84.0793307,+1 865-694-6311
J.C. Holdway,"Elevated choice for farm-fresh regional dishes, many cooked over a wood-fire grill, plus a full bar.","Restaurant, Bar",https://www.jcholdway.com/,4.6,453,"501 Union Ave SW, Knoxville, TN 37902",35.9643207 -83.92051049999999,+1 865-312-9050
Noodles and Company,Counter-serve chain offering international noodle & pasta dishes from mac 'n' cheese to Pad Thai.,"Restaurant, Down home cooking restaurant, Takeout Restaurant, Pasta shop, Salad shop, Soup restaurant",https://locations.noodles.com/tn/knoxville/11083-parkside-drive.html,4.4,581,"11083 Parkside Dr, Knoxville, TN 37934",35.9027713 -84.1518012,+1 865-675-1869
Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",https://restaurants.fiveguys.com/234-brookview-centre-way,4.4,959,"234 Brookview Centre Way Unit 101, Knoxville, TN 37919",35.9358323 -84.0033677,+1 865-337-8595
Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",https://restaurants.fiveguys.com/10922-parkside-drive,4.4,580,"10922 Parkside Dr, Knoxville, TN 37923",35.9020532 -84.1483705,+1 865-675-4897
Round Up Restaurant and Ice Cream,,Restaurant,https://round-up-restaurant-and-ice-cream.business.site/?utm_source=gmb&utm_medium=referral,4.6,497,"3643 Sevierville Pike, Knoxville, TN 37920",35.9449391 -83.8908323,+1 865-577-8981
Cook Out,"Branch of a fast-food chain known for its drive-thru BBQ, burgers & more than 40 milkshake flavors.","Restaurant, American restaurant, Barbecue restaurant, Chicken restaurant, Fast food restaurant, Hamburger restaurant, Hot dog restaurant",https://cookout.com/,4.1,2046,"2135 Cumberland Ave, Knoxville, TN 37916",35.954239 -83.93885569999999,+1 865-525-2662
Emilia,"Regional Italian dishes, including house-made pastas, are paired with wine in a brick-walled space.","Italian restaurant, Restaurant",https://www.emiliaknox.com/,4.5,613,"16 Market Square, Knoxville, TN 37902",35.9653286 -83.9193715,+1 865-313-2472
The Original Louis Drive in Restaurant,"Old-school eatery serving Italian & American classics, from pasta to burgers, in a no-frills setup.","Italian restaurant, Restaurant",https://theoriginallouis.com/,4.4,2211,"4661 Old Broadway, Knoxville, TN 37918",36.0187539 -83.9246656,+1 865-688-4121
Union Place Bar & Grill,"Informal place with pool tables & weekend live music serving homemade burgers, sandwiches & fries.",Restaurant,https://www.unionplacebar.com/,4.5,363,"4884 Chambliss Ave, Knoxville, TN 37919",35.940838899999996 -83.987071,+1 865-540-6904
Mellow Mushroom Farragut,"Funky, art-filled chain pizzeria featuring craft beer, calzones & creative stone-baked pizzas.","Pizza restaurant, Caterer, Gluten-free restaurant, Restaurant, Sandwich shop, Vegan restaurant",https://mellowmushroom.com/location/tn-farragut-635-n-campbell-station-rd-37934/?utm_source=gmb&utm_medium=organic&utm_campaign=Farragut-TN&utm_content=82,4.4,1435,"635 N Campbell Station Rd, Farragut, TN 37934",35.8940185 -84.1747068,+1 865-777-6768
OliBea,"Breakfast standards & coffee served in an airy, colorful space adorned with local art.","Breakfast restaurant, Brunch restaurant, Coffee shop, Restaurant",https://olibeaoldcity.com/,4.6,852,"211 S Central St, Knoxville, TN 37902",35.968367199999996 -83.9176835,+1 865-200-5450
Connors Steak & Seafood,Neighborhood restaurant & bar serving aged steaks & fresh seafood in a warm atmosphere.,"Steak house, American restaurant, Seafood restaurant, Wine bar",https://connorsrestaurant.com/,4.8,2913,"10915 Turkey Dr, Knoxville, TN 37934",35.9039618 -84.1476502,+1 865-966-0933
Bistro at the Bijou,Cozy bistro with a seasonal menu of comfort fare to accompany shows in the attached theater.,"Bistro, Brunch restaurant, Hamburger restaurant, Lunch restaurant, Southern restaurant (US), Vegetarian restaurant",https://www.thebistroatthebijou.com/,4.5,598,"807 S Gay St, Knoxville, TN 37902",35.9624029 -83.916761,+1 865-544-0537
"MOOYAH Burgers, Fries & Shakes","Counter-serve chain for custom burgers, including poultry & veggie versions, plus fries & shakes.",Hamburger restaurant,https://www.mooyah.com/locations/knoxville-tn-117/,4.5,2100,"7301 Kingston Pike, Knoxville, TN 37919",35.930703 -84.03003799999999,+1 865-474-1641
Mellow Mushroom Knoxville,"Funky, art-filled chain pizzeria featuring craft beer, calzones & creative stone-baked pizzas.","Pizza restaurant, Caterer, Gluten-free restaurant, Restaurant, Sandwich shop, Vegan restaurant",https://mellowmushroom.com/location/tn-knoxville-2109-cumberland-ave-37916/?utm_source=gmb&utm_medium=organic&utm_campaign=Knoxville-TN&utm_content=1,4.2,1031,"2109 Cumberland Ave, Knoxville, TN 37916",35.9546803 -83.9380247,+1 865-687-4766
The Tomato Head,"Hip American cafe-bakery serving light, hearty & vegetarian fare including pizza with beer & wine.","American restaurant, Brunch restaurant, Caterer, Pizza restaurant, Pizza Takeout, Vegan restaurant, Vegetarian restaurant",https://thetomatohead.com/,4.5,1297,"The Gallery Shopping Center, 7240 Kingston Pike #172, Knoxville, TN 37919",35.928937 -84.030671,+1 865-584-1075
Fazoli's,"Fast-food chain doling out baked pastas, subs, pizza & other casual Italian fare plus custom combos.","Italian restaurant, Caterer, Family restaurant, Takeout Restaurant, Pasta shop, Pizza restaurant, Restaurant",https://locations.fazolis.com/tn/knoxville/9515-kingston-pike.html?utm_source=yext+GMB&utm_medium=local&utm_campaign=website&y_source=1_MzExNzE0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,1231,"9515 Kingston Pike, Knoxville, TN 37922",35.909675899999996 -84.10100709999999,+1 865-694-1162
The Chop House,"Informal chain outpost serving grilled steaks, prime rib & seafood, plus a variety of wines.","Steak house, American restaurant, Restaurant, Seafood restaurant",https://www.thechophouse.com/,4.4,1857,"4870 Harvest Mill Way, Knoxville, TN 37918",36.028143799999995 -83.9271776,+1 865-687-1330
El Charro Mexican Restaurant,Informal restaurant providing standard plates of Mexican fare & margaritas in a laid-back ambiance.,Mexican restaurant,https://elcharroknoxville.com/,4.3,639,"3816 Sutherland Ave, Knoxville, TN 37919",35.944541199999996 -83.9827296,+1 865-584-9807
Cracker Barrel Old Country Store,"Homey chain restaurant serving American comfort food, with an on-site general store.","American restaurant, Breakfast restaurant, Family restaurant, Gift shop, Takeout Restaurant, Restaurant, Southern restaurant (US)",https://www.crackerbarrel.com/Locations/States/tn/knoxville/75/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl,4.3,2693,"716 N Campbell Station Rd, Knoxville, TN 37934",35.8972604 -84.1746086,+1 865-675-1446
Kefi,,Greek restaurant,https://kefiknox.com/,4.7,650,"120 E Jackson Ave, Knoxville, TN 37915",35.9707484 -83.9177978,+1 865-544-8564
Chuy's,"Chain serving ""big as yo' face"" burritos & other Tex-Mex dishes in kitschy, Elvis-heavy settings.","Tex-Mex restaurant, Mexican restaurant, Restaurant",https://www.chuys.com/,4.4,3273,"9235 Kingston Pike, Knoxville, TN 37922",35.9119481 -84.0887029,+1 865-670-4141
Mama Mia Mediterranean food,Casual restaurant hidden away in a strip mall with hefty portions of Italian & Greek cooking.,"Middle Eastern restaurant, Halal restaurant, Mediterranean restaurant",https://www.mamamiacuisine.com/,4.4,758,"9115 Executive Park Dr, Knoxville, TN 37923",35.9216245 -84.0877642,+1 865-691-9100
Blaze Pizza,"Hip counter-serve pizzeria dishing up crispy, thin-crust pies made with creative toppings & sauces.","Pizza restaurant, Family restaurant, Pizza Takeout",https://www.blazepizza.com/locations/knoxville/,4.6,1643,"113 N Peters Rd, Knoxville, TN 37923",35.912929 -84.082792,+1 865-225-1839
Chivo Taqueria,"Gourmet tacos & an extensive tequila menu offered in a dark, rustic-chic tavern with a trendy vibe.","Taco restaurant, Mexican restaurant",https://chivotaqueria.com/,4.5,1321,"314 S Gay St, Knoxville, TN 37902",35.9667361 -83.9189528,+1 865-444-3161
Gondolier Italian Restaurant & Pizza,"Family-owned establishment featuring pasta dishes, pizza & other Italian staples in a comfy setting.","Italian restaurant, Pizza restaurant, Pizza Takeout, Restaurant",https://gondolierpizza.com/,4.3,1035,"1063 N Cedar Bluff Rd, Knoxville, TN 37923",35.9413334 -84.0952227,+1 865-693-0999
Cracker Barrel Old Country Store,"Homey chain restaurant serving American comfort food, with an on-site general store.","American restaurant, Breakfast restaurant, Family restaurant, Gift shop, Takeout Restaurant, Restaurant, Southern restaurant (US)",https://www.crackerbarrel.com/Locations/States/tn/knoxville/12/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl,4.4,3873,"5001 Central Ave Pike, Knoxville, TN 37912",36.0092035 -83.9687373,+1 865-688-7396
Finn's Irish Restaurant & Tavern,,"Restaurant, Bar",https://www.finnstavern.com/,4.6,532,"Baker Peters House, 9000 Kingston Pike, Knoxville, TN 37923",35.9122413 -84.0817916,+1 865-357-0894
Mahogany's Restaurant,,Seafood restaurant,nan,3.7,83,"401 W Summit Hill Dr SW, Knoxville, TN 37902",35.9671309 -83.92057679999999,+1 865-522-2600
Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",https://restaurants.fiveguys.com/2032-town-center-boulevard,4.4,439,"2032 Town Center Blvd, Knoxville, TN 37922",35.859595999999996 -84.0764313,+1 865-337-8596
Silvia's Mexican Restaurant,,Mexican restaurant,https://www.silviasmexican.com/,4.4,312,"2421 University Commons Way, Knoxville, TN 37919",35.9497512 -83.9392269,+1 865-851-8888
Bojangles,"Southern-inspired fast-food chain known for fried chicken & biscuit, plus signature sides.","Restaurant, American restaurant, Chicken restaurant, Family restaurant, Fast food restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://locations.bojangles.com/tn/powell/1920-west-emory-road.html,3.8,685,"1920 W Emory Rd, Powell, TN 37849",36.0300947 -84.02927799999999,+1 865-859-9246
Savelli's Italian Restaurant,Hearty portions of traditional Italian eats including calzones & eggplant parmesan in a cozy space.,"Italian restaurant, Pizza restaurant, Pizza Takeout, Seafood restaurant, Steak house",https://savellisknoxville.com/,4.2,549,"3055 Sutherland Ave, Knoxville, TN 37919",35.9523076 -83.96704919999999,+1 865-521-9085
Taste of Thai,"Classic dishes, including curries & pad Thai, served in a casual setting with a full bar & a patio.","Thai restaurant, Asian restaurant, Bar, Restaurant, Southeast Asian restaurant",https://facebook.com/tasteofthaiknoxville/,4.3,1133,"8926 Town and Country Cir, Knoxville, TN 37923",35.9176068 -84.0839427,+1 865-691-4442
Jackie's Dream,Bare-bones eatery offering classic Southern comfort grub & soul food plus hearty sides.,"Southern restaurant (US), Soul food restaurant",https://jackiesdreamknoxville.com/,4.7,1231,"1008 E Woodland Ave, Knoxville, TN 37917",35.991226 -83.92388799999999,+1 865-219-5789
O'Charley's Restaurant & Bar,"Relaxed chain restaurant cooking American comfort staples, with take-out options & a full bar.","American restaurant, Bar & grill",https://www.ocharleys.com/,3.8,1327,"117 Cedar Ln, Knoxville, TN 37912",36.013109 -83.969567,+1 865-689-2870
The Cheesecake Factory,American chain restaurant offering sizable portions from a vast menu including signature cheesecake,"Restaurant, American restaurant, Dessert restaurant, Takeout Restaurant",https://locations.thecheesecakefactory.com/tn/knoxville-166.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,4.3,3544,"201 Morrell Rd, Knoxville, TN 37919",35.9256548 -84.0365266,+1 865-670-7443
Dead End BBQ,BBQ sandwiches & plates served with sides & draft beer in a low-key space with sports memorabilia.,"Barbecue restaurant, American restaurant, Caterer, Family restaurant, Restaurant, Sports bar",https://www.deadendbbq.com/,4.4,1857,"3621 Sutherland Ave, Knoxville, TN 37919",35.946725799999996 -83.98010409999999,+1 865-212-5655
Cook Out,"Branch of a fast-food chain known for its drive-thru BBQ, burgers & more than 40 milkshake flavors.","Restaurant, American restaurant, Barbecue restaurant, Chicken restaurant, Fast food restaurant, Hamburger restaurant, Hot dog restaurant",https://cookout.com/,4.2,2047,"435 E Emory Rd, Powell, TN 37849",36.0503421 -83.9967884,+1 866-547-0011
Monterrey Mexican Restaurant,Mexican favorites & many flavors of margaritas in a casual space with traditional accents.,Mexican restaurant,https://www.facebook.com/monterreyknoxville/,4.4,1554,"105 Cedar Ln, Knoxville, TN 37912",36.012404 -83.96994099999999,+1 865-688-5668
Kabuki Restaurant (Farragut),"Artfully presented Japanese sushi & hibachi-grilled fare served in a sleek, contemporary setting.","Japanese restaurant, Asian restaurant, Restaurant, Sushi restaurant",https://www.kabukitn.com/,4.4,728,"10901 Parkside Dr #105, Knoxville, TN 37934",35.9027391 -84.146164,+1 865-288-4111
Tequila Amigos,,"Mexican restaurant, Takeout Restaurant, Restaurant",nan,4.3,880,"4824 Harvest Mill Way, Knoxville, TN 37918",36.0268589 -83.92631899999999,+1 865-240-3652
The Plaid Apron,"Modern, minimalist cafe serving American breakfasts, lunches & Saturday brunch, with a local focus.",New American restaurant,https://theplaidapron.co/,4.4,417,"1210 Kenesaw Ave, Knoxville, TN 37919",35.9340526 -83.9632934,+1 865-247-4640
Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.","Fast food restaurant, American restaurant, Hot dog restaurant, Hot dog stand, Restaurant",https://restaurants.fiveguys.com/7531-barnett-way,4.5,1029,"7531 Barnett Way, Powell, TN 37849",36.0525483 -83.9937554,+1 865-512-7004
Lempira Mexican Restaurant & Latin Cuisine,,Honduran restaurant,https://orderlempiramexicanrestaurantandlatincuisine.com/,4.0,249,"8078 Kingston Pike #151, Knoxville, TN 37919",35.9236153 -84.0498678,+1 865-409-4771
El Mezcal Mexican Restaurant,,"Mexican restaurant, Latin American restaurant, Restaurant",https://elmezcalknoxville.com/,3.9,412,"118 N Forest Park Blvd, Knoxville, TN 37919",35.9419514 -83.9812397,+1 865-558-6416
EL BURRO FLOJO MEXICAN RESTAURANT,"Lively spot for traditional Mexican-American fare & full bar amid secluded booths, TVs & art.","Mexican restaurant, Food service",https://www.burroflojo.com/,4.4,974,"8079 Kingston Pike, Knoxville, TN 37919",35.9255306 -84.047775,+1 865-247-0414
Sticky Rice Cafe,Family-run eatery showcasing traditional Lao & Thai dishes & bubble tea in cheery surroundings.,Laotian restaurant,https://www.stickyriceknox.com/,4.8,1202,"120 Jack Dance St, Knoxville, TN 37919",35.9272139 -84.04341939999999,+1 865-249-6273
Texas Roadhouse,Lively chain steakhouse serving American fare with a Southwestern spin amid Texas-themed decor.,Steak house,https://www.texasroadhouse.com/locations/231-turkey-creektn,4.3,2664,"11001 Turkey Dr, Knoxville, TN 37922",35.903546999999996 -84.15108099999999,+1 865-392-9150
Melting Pot,"Fondue restaurant chain offering heated pots of cheese, chocolate or broth for dipping & cooking.","Fondue restaurant, Fine dining restaurant",https://www.meltingpot.com/knoxville-tn/,4.7,1781,"111 N Central St, Knoxville, TN 37902",35.970798099999996 -83.9187894,+1 865-971-5400
